time,Open,High,Low,Close,volume
1740355200,96262.17878567,96322.44290413,96199.4,96256.37,0.0
1740355500,96256.90388278,96450.83843511,96256.00542932,96450.83843511,0.0
1740355800,96450.01,96494.92628993,96415.76955872,96472.63226298,0.0
1740356100,96471.51960203,96473.72958197,96316.86320777,96397.4,0.0
1740356400,96396.3953375,96434.41154156,96329.57518833,96433.15371189,0.0
1740356700,96429.84,96458.0,96379.09245241,96413.08038963,0.0
1740357000,96413.08932721,96414.77622578,96282.54,96285.63087468,0.0
1740357300,96285.63087468,96318.192636,96244.0,96267.19713689,0.0
1740357600,96268.40793647,96333.94598032,96166.76831046,96299.03997684,0.0
1740357900,96299.02618044,96440.6,96299.02618044,96404.89726123,0.0
1740358200,96402.69491309,96505.81798596,96357.66422779,96359.0686434,0.0
1740358500,96359.87699819,96370.3,96248.87120211,96255.24475339,0.0
1740358800,96255.92820759,96293.08503003,96205.11547165,96205.95406157,0.0
1740359100,96206.38637899,96350.09706372,96205.25391156,96242.04345278,0.0
1740359400,96241.8722118,96241.8722118,96081.08526696,96141.34629451,0.0
1740359700,96142.0,96234.28959902,96073.01422024,96185.66279807,0.0
1740360000,96185.71597366,96305.5550301,96148.78503008,96148.84116816,0.0
1740360300,96148.79562116,96186.79462624,96088.20090554,96101.384404,0.0
1740360600,96102.5,96115.50231895,95980.84054997,95980.84054997,0.0
1740360900,95980.82671782,96097.87385752,95965.70503008,96031.67078953,0.0
1740361200,96031.71190361,96033.01697406,95774.46352503,95862.07434208,0.0
1740361500,95861.85074337,95988.56491117,95784.70568539,95792.52290019,0.0
1740361800,95794.27483746,95973.76896962,95779.66105868,95909.06565361,0.0
1740362100,95909.21565361,96000.44484369,95897.88095201,95983.55,0.0
1740362400,95982.40024896,95982.56,95855.76950762,95920.32841989,0.0
1740362700,95920.2540783,96141.9,95920.2540783,96140.97558325,0.0
1740363000,96140.97090157,96203.70365035,96089.1670027,96089.1670027,0.0
1740363300,96087.6,96112.45220513,96004.455,96005.28904902,0.0
1740363600,96005.47426682,96005.51700532,95823.5,95908.8407087,0.0
1740363900,95908.44824115,95987.3,95892.35264104,95972.65,0.0
1740364200,95973.55195233,95983.80460228,95903.73991436,95971.64249241,0.0
1740364500,95971.64249241,96074.69500374,95971.07974031,96056.63764733,0.0
1740364800,96057.17798595,96077.99379457,95919.08937087,95951.69670641,0.0
1740365100,95953.32921328,96013.05,95865.51017296,96007.84343435,0.0
1740365400,96008.02719752,96041.82707427,95908.845573,95910.41285259,0.0
1740365700,95912.71066172,95920.69900227,95765.0,95831.34193001,0.0
1740366000,95831.8,95833.95462913,95690.95260831,95749.72458339,0.0
1740366300,95750.5,95788.33732296,95687.09195212,95787.96867685,0.0
1740366600,95788.37371684,95807.88994277,95727.3,95750.93692533,0.0
1740366900,95750.93692533,95750.93692533,95666.68639681,95737.10616437,0.0
1740367200,95739.03591474,95739.99761117,95631.06643015,95631.44895441,0.0
1740367500,95631.06643015,95686.1,95503.64093935,95519.0,0.0
1740367800,95517.89285216,95564.74553157,95328.49247853,95564.40717217,0.0
1740368100,95565.26609677,95700.8,95565.26609677,95676.56507601,0.0
1740368400,95676.55815826,95796.93193251,95651.3166759,95761.63032445,0.0
1740368700,95761.75152992,95792.48463318,95583.30866097,95611.78711584,0.0
1740369000,95611.73386872,95644.03625018,95512.57171647,95545.74992941,0.0
1740369300,95546.07527261,95546.07527261,95432.72998657,95432.80313964,0.0
1740369600,95432.69775421,95535.5321406,95376.388119,95465.75,0.0
1740369900,95465.81795585,95586.68575899,95443.5,95576.7,0.0
1740370200,95575.94954969,95576.33185348,95413.79576143,95461.64468365,0.0
1740370500,95461.0226925,95471.42447033,95407.1583881,95442.68008748,0.0
1740370800,95443.20536045,95453.70244162,95348.52,95412.76984469,0.0
1740371100,95412.21709003,95419.5,95299.29720022,95341.7259497,0.0
1740371400,95341.65255162,95387.02145891,95167.60280947,95249.24173297,0.0
1740371700,95251.3123325,95266.76694543,95088.52348945,95169.50672506,0.0
1740372000,95168.6847472,95285.76746084,95110.05327113,95256.65044722,0.0
1740372300,95256.71549576,95426.96856142,95249.45009999,95401.08464835,0.0
1740372600,95400.85293728,95413.16667828,95271.42861488,95274.36114703,0.0
1740372900,95275.0136286,95306.07760424,95236.16238621,95296.12822123,0.0
1740373200,95296.07612327,95369.79374387,95247.21,95265.44517012,0.0
1740373500,95267.59412881,95399.5,95243.5,95398.9315611,0.0
1740373800,95399.0,95485.21270109,95387.5,95468.91596711,0.0
1740374100,95468.99764269,95558.4,95468.90907045,95474.18861284,0.0
1740374400,95474.19801254,95489.2,95394.27023481,95423.695,0.0
1740374700,95423.52521474,95526.27029081,95373.00739566,95499.26854069,0.0
1740375000,95499.48691734,95666.16659384,95490.77961738,95649.06155042,0.0
1740375300,95649.63440412,95719.84,95614.58521011,95716.5,0.0
1740375600,95716.0,95736.45190753,95665.0,95706.74136462,0.0
1740375900,95706.74136462,95724.15,95679.47704434,95683.35,0.0
1740376200,95683.35,95750.35826494,95681.80911438,95749.34064648,0.0
1740376500,95751.3262008,95775.53750617,95721.77367584,95737.0,0.0
1740376800,95737.0,95753.07936491,95674.77364895,95735.19662905,0.0
1740377100,95734.5,95747.35159116,95678.70593462,95726.19780131,0.0
1740377400,95726.23029865,95726.9871801,95676.65,95679.4059541,0.0
1740377700,95679.76098996,95693.94997541,95634.43339491,95635.32961068,0.0
1740378000,95635.60118112,95749.71911138,95633.35955544,95749.45701666,0.0
1740378300,95749.45195601,95761.347907,95689.66733493,95689.83766856,0.0
1740378600,95689.67100704,95769.39705848,95689.50008428,95702.93506979,0.0
1740378900,95702.98348374,95800.0,95702.98348374,95799.17450761,0.0
1740379200,95799.17450761,95818.78506207,95712.94564567,95741.69811944,0.0
1740379500,95741.5,95912.64526358,95737.47281168,95828.95374596,0.0
1740379800,95828.24694461,95858.02538193,95771.0,95816.86270399,0.0
1740380100,95816.13136441,95878.12362241,95783.74634577,95871.94587127,0.0
1740380400,95871.51136149,95924.28825802,95871.0,95923.7999636,0.0
1740380700,95923.3023215,95963.079813,95869.64885411,95871.4693299,0.0
1740381000,95871.0,95883.86704098,95760.0901864,95786.67050352,0.0
1740381300,95786.93022814,95786.93022814,95713.94040504,95781.16887886,0.0
1740381600,95781.23692394,95812.52655116,95745.67178737,95812.52627801,0.0
1740381900,95812.4,95846.06192372,95806.0,95815.33500405,0.0
1740382200,95815.83727587,95928.9,95796.95565217,95898.83831631,0.0
1740382500,95898.6,95927.25243576,95856.78885482,95874.2,0.0
1740382800,95873.61,95890.13287054,95781.47155235,95781.47155235,0.0
1740383100,95776.15019535,95811.359145,95735.20738748,95807.3,0.0
1740383400,95807.81343538,95891.76784734,95806.79519579,95883.05223812,0.0
1740383700,95883.10492503,95911.26137031,95882.77898465,95886.04222838,0.0
1740384000,95885.63715208,95947.46436907,95866.6278175,95932.0,0.0
1740384300,95932.85675279,95932.85675279,95774.24370327,95774.24370327,0.0
1740384600,95771.17772794,95783.0,95710.93273378,95745.08655351,0.0
1740384900,95745.08655351,95748.52169125,95630.3952709,95632.49318834,0.0
1740385200,95632.08985966,95632.45858664,95482.54289793,95547.86607487,0.0
1740385500,95548.34080364,95577.55963684,95427.4688199,95437.99390932,0.0
1740385800,95439.40638916,95530.03190508,95389.89765276,95490.78958401,0.0
1740386100,95490.28636667,95575.59877262,95457.18850231,95492.71393525,0.0
1740386400,95492.71393525,95595.0,95492.6837485,95557.7982932,0.0
1740386700,95557.16007829,95613.37415286,95519.09256176,95580.39360398,0.0
1740387000,95580.39360398,95580.40718466,95473.82820064,95532.73789062,0.0
1740387300,95532.73789062,95602.18772505,95502.85549559,95525.04677112,0.0
1740387600,95527.06086347,95719.0,95516.0,95701.38038285,0.0
1740387900,95700.80293633,95766.15563987,95673.0609016,95703.93,0.0
1740388200,95701.32341528,95775.19974897,95693.91362478,95749.36122103,0.0
1740388500,95749.36122103,95756.7876,95716.0,95716.095716,0.0
1740388800,95715.89376504,95829.96617488,95701.01126799,95828.24694557,0.0
1740389100,95828.24205247,96095.07696615,95828.23526188,96034.0,0.0
1740389400,96034.0,96162.70964389,96014.40164034,96080.17339815,0.0
1740389700,96079.99286132,96079.99286132,95920.22556431,95963.45,0.0
